,Stadium,Team1,Team2,Won,Year
608,Eden Gardens ,Gujarat Lions,Mumbai Indians,Match Tied ,2017
609,M. Chinnaswamy Stadium ,Rising Pune Supergiant,Royal Challengers Bangalore,RPS   ,2017
610,M. Chinnaswamy Stadium ,Punjab Kings,Sunrisers Hyderabad,SRH   ,2017
611,Wankhede Stadium ,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2017
612,Eden Gardens ,Royal Challengers Bangalore,Gujarat Lions,GL   ,2017
613,Saurashtra Cricket Association Stadium ,Rising Pune Supergiant,Kolkata Knight Riders,KKR   ,2017
614,Wankhede Stadium ,Royal Challengers Bangalore,Sunrisers Hyderabad,No Result,2017
615,Eden Gardens ,Mumbai Indians,Rising Pune Supergiant,RPS   ,2017
616,Holkar Cricket Stadium ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2017
617,Rajiv Gandhi Intl. Cricket Stadium ,Gujarat Lions,Punjab Kings,PBKS   ,2017
618,Saurashtra Cricket Association Stadium ,Mumbai Indians,Delhi Daredevils,MI   ,2017
619,Rajiv Gandhi Intl. Cricket Stadium ,Rising Pune Supergiant,Sunrisers Hyderabad,RPS   ,2017
620,Arun Jaitley Stadium ,Kolkata Knight Riders,Gujarat Lions,GL   ,2017
621,M. Chinnaswamy Stadium ,Punjab Kings,Mumbai Indians,MI   ,2017
622,Wankhede Stadium ,Sunrisers Hyderabad,Delhi Daredevils,SRH   ,2017
623,Arun Jaitley Stadium ,Gujarat Lions,Royal Challengers Bangalore,RCB   ,2017
624,Eden Gardens ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2017
625,Saurashtra Cricket Association Stadium ,Delhi Daredevils,Kolkata Knight Riders,KKR   ,2017
626,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rising Pune Supergiant,RPS   ,2017
627,Eden Gardens ,Mumbai Indians,Gujarat Lions,MI   ,2017
628,Wankhede Stadium ,Delhi Daredevils,Punjab Kings,DC   ,2017
629,Holkar Cricket Stadium ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2017
630,Wankhede Stadium ,Gujarat Lions,Rising Pune Supergiant,GL   ,2017
631,Rajiv Gandhi Intl. Cricket Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2017
632,M. Chinnaswamy Stadium ,Kolkata Knight Riders,Punjab Kings,KKR   ,2017
633,Holkar Cricket Stadium ,Mumbai Indians,Sunrisers Hyderabad,MI   ,2017
634,Saurashtra Cricket Association Stadium ,Rising Pune Supergiant,Delhi Daredevils,DC   ,2017
635,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2017
636,Other,Mumbai Indians,Kolkata Knight Riders,MI   ,2017
637,Other,Sunrisers Hyderabad,Gujarat Lions,SRH   ,2017
638,Other,Royal Challengers Bangalore,Delhi Daredevils,RCB   ,2017
639,Other,Punjab Kings,Rising Pune Supergiant,PBKS   ,2017
640,Other,Gujarat Lions,Kolkata Knight Riders,KKR   ,2017
641,Other,Rising Pune Supergiant,Mumbai Indians,RPS   ,2017
642,Other,Sunrisers Hyderabad,Royal Challengers Bangalore,SRH   ,2017
643,Wankhede Stadium ,Chennai Super Kings,Sunrisers Hyderabad,CSK   ,2018
644,Eden Gardens ,Sunrisers Hyderabad,Kolkata Knight Riders,SRH   ,2018
645,Eden Gardens ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2018
646,Wankhede Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2018
647,Arun Jaitley Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2018
648,Rajiv Gandhi Intl. Cricket Stadium ,Delhi Daredevils,Mumbai Indians,DC   ,2018
649,Sawai Mansingh Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,KKR   ,2018
650,Arun Jaitley Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RR   ,2018
651,M. Chinnaswamy Stadium ,Delhi Daredevils,Chennai Super Kings,DC   ,2018
652,Wankhede Stadium ,Royal Challengers Bangalore,Sunrisers Hyderabad,RCB   ,2018
653,Eden Gardens ,Mumbai Indians,Punjab Kings,MI   ,2018
654,Holkar Cricket Stadium ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2018
655,Wankhede Stadium ,Punjab Kings,Royal Challengers Bangalore,RCB   ,2018
656,Arun Jaitley Stadium ,Mumbai Indians,Rajasthan Royals,RR   ,2018
657,Holkar Cricket Stadium ,Chennai Super Kings,Sunrisers Hyderabad,CSK   ,2018
658,Sawai Mansingh Stadium ,Delhi Daredevils,Royal Challengers Bangalore,RCB   ,2018
659,Arun Jaitley Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2018
660,Eden Gardens ,Rajasthan Royals,Chennai Super Kings,RR   ,2018
661,Sawai Mansingh Stadium ,Delhi Daredevils,Sunrisers Hyderabad,SRH   ,2018
662,Rajiv Gandhi Intl. Cricket Stadium ,Kolkata Knight Riders,Mumbai Indians,MI   ,2018
663,Holkar Cricket Stadium ,Rajasthan Royals,Punjab Kings,RR   ,2018
664,Wankhede Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,SRH   ,2018
665,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Rajasthan Royals,PBKS   ,2018
666,Holkar Cricket Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2018
667,Eden Gardens ,Sunrisers Hyderabad,Delhi Daredevils,SRH   ,2018
668,Arun Jaitley Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2018
669,M. Chinnaswamy Stadium ,Punjab Kings,Mumbai Indians,MI   ,2018
670,M. Chinnaswamy Stadium ,Kolkata Knight Riders,Chennai Super Kings,KKR   ,2018
671,Sawai Mansingh Stadium ,Delhi Daredevils,Rajasthan Royals,DC   ,2018
672,Arun Jaitley Stadium ,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2018
673,Rajiv Gandhi Intl. Cricket Stadium ,Chennai Super Kings,Delhi Daredevils,CSK   ,2018
674,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,KKR   ,2018
675,Wankhede Stadium ,Rajasthan Royals,Sunrisers Hyderabad,SRH   ,2018
676,Arun Jaitley Stadium ,Chennai Super Kings,Mumbai Indians,MI   ,2018
